mapping, replan, sfc, mpc, df, 
0, 0.000259, 0.005056, 3.73089, 0.006482, 
0, 0.000222, 0.005278, 3.61189, 0.006851, 
0, 0.000241, 0.005371, 3.55439, 0.006685, 
0, 0.00026, 0.005352, 3.66882, 0.006518, 
0, 0.00024, 0.0055, 3.44726, 0.00863, 
0, 0.000278, 0.005556, 3.51513, 0.006741, 
0, 0.000259, 0.005518, 3.72796, 0.009074, 
0, 0.00026, 0.006481, 3.43796, 0.007296, 
0, 0.000556, 0.009111, 3.39291, 0.037833, 
7.68354, 0.000222, 0.011259, 3.612, 0.006685, 
0, 0.000185, 0.005389, 3.72417, 0.006352, 
0, 0.000222, 0.005463, 3.53676, 0.006667, 
0, 0.000203, 0.004926, 3.61435, 0.006741, 
0, 0.000371, 0.006167, 3.58146, 0.006149, 
0, 0.000204, 0.005389, 3.49976, 0.022648, 
0, 0.000223, 0.007444, 3.958, 0.007407, 
0, 0.000222, 0.005981, 3.3937, 0.007223, 
0, 0.000185, 0.005851, 3.69469, 0.0065, 
0, 0.000537, 0.024129, 3.95046, 0.012648, 
7.26583, 0.000296, 0.004834, 3.26533, 0.006797, 
0, 0.000185, 0.005315, 3.68022, 0.00687, 
0, 0.000185, 0.005556, 3.2695, 0.006722, 
0, 0.000241, 0.005407, 3.69641, 0.006389, 
0, 0.000204, 0.005055, 3.23863, 0.006185, 
0, 0.000204, 0.005241, 4.85109, 0.009315, 
0, 0.000203, 0.004963, 3.85963, 0.005518, 
0, 0.000186, 0.0055, 3.75748, 0.006815, 
0, 0.000222, 0.005481, 3.37289, 0.006555, 
0, 0.000223, 0.005926, 3.79172, 0.009666, 
6.10948, 0.000611, 0.009351, 4.05443, 0.007666, 
0, 0.000222, 0.0055, 3.4065, 0.006407, 
0, 0.000185, 0.005055, 3.45106, 0.006056, 
0, 0.000185, 0.005352, 3.17404, 0.007167, 
0, 0.000222, 0.005574, 3.52639, 0.006, 
0, 0.00026, 0.005648, 3.78117, 0.009407, 
0, 0.000278, 0.00613, 3.46444, 0.006796, 
0, 0.00026, 0.00687, 4.02439, 0.006741, 
0, 0.000204, 0.006, 3.39893, 0.007037, 
0, 0.000203, 0.006667, 5.35431, 0.010018, 
5.21042, 0.000185, 0.004981, 3.25926, 0.005945, 
0, 0.000185, 0.005537, 3.58476, 0.006185, 
0, 0.000223, 0.005241, 3.26915, 0.006519, 
0, 0.000185, 0.005148, 3.50626, 0.006556, 
0, 0.000223, 0.005407, 3.20354, 0.006482, 
0, 0.000259, 0.005, 3.58894, 0.019426, 
0, 0.000315, 0.006852, 4.48274, 0.006241, 
0, 0.000222, 0.005648, 3.22619, 0.00674, 
0, 0.000222, 0.005852, 4.28985, 0.007204, 
0, 0.000352, 0.005926, 4.61124, 0.008537, 
6.8867, 0.000185, 0.005056, 3.33611, 0.0065, 
0, 0.000204, 0.005185, 2.91404, 0.006537, 
0, 0.000426, 0.005722, 3.04115, 0.007796, 
0, 0.000185, 0.005407, 2.88848, 0.006481, 
0, 0.000241, 0.005278, 3.07463, 0.00637, 
0, 0.000223, 0.006, 2.88444, 0.008037, 
0, 0.000222, 0.005741, 3.21922, 0.00563, 
0, 0.000222, 0.005482, 2.91306, 0.007167, 
0, 0.000203, 0.005649, 3.10678, 0.006593, 
0, 0.000203, 0.005277, 3.10893, 0.016537, 
5.49298, 0.000186, 0.00513, 3.03504, 0.007241, 
0, 0.000278, 0.005297, 3.0318, 0.007037, 
0, 0.000241, 0.005314, 2.88759, 0.006482, 
0, 0.00037, 0.005167, 3.00382, 0.008019, 
0, 0.000241, 0.005445, 3.0673, 0.007445, 
0, 0.000185, 0.005241, 3.22931, 0.007463, 
0, 0.000241, 0.006185, 3.01795, 0.007241, 
0, 0.000241, 0.027759, 3.04846, 0.006537, 
0, 0.000241, 0.005685, 3.17433, 0.007759, 
4.77972, 0.000315, 0.008278, 6.86746, 0.006259, 
0, 0.000259, 0.005407, 3.06437, 0.006852, 
0, 0.000334, 0.005148, 3.04502, 0.005907, 
0, 0.000222, 0.005426, 3.99493, 0.006889, 
0, 0.000204, 0.005314, 3.43878, 0.006, 
0, 0.000241, 0.005278, 3.15404, 0.006815, 
0, 0.000204, 0.004945, 3.31304, 0.013241, 
0, 0.000204, 0.006463, 3.81495, 0.005259, 
0, 0.000185, 0.005611, 4.05307, 0.005982, 
0, 0.000222, 0.005445, 3.41102, 0.006704, 
0, 0.000204, 0.005445, 3.38294, 0.005815, 
0, 0.000241, 0.005722, 7.65187, 0.009945, 
6.5622, 0.000444, 0.006148, 3.95261, 0.006333, 
0, 0.000204, 0.005852, 2.96824, 0.007444, 
0, 0.000241, 0.005241, 3.66476, 0.006352, 
0, 0.00024, 0.005167, 3.27298, 0.007981, 
0, 0.000203, 0.005592, 3.52567, 0.007945, 
0, 0.000185, 0.005629, 3.11682, 0.006592, 
0, 0.000203, 0.005704, 3.36048, 0.007092, 
0, 0.000222, 0.005407, 3.35461, 0.007, 
0, 0.00037, 0.006296, 5.27983, 0.007982, 
5.49022, 0.000222, 0.004982, 3.66352, 0.007259, 
0, 0.000185, 0.0055, 3.63196, 0.006204, 
0, 0.000259, 0.005259, 3.35252, 0.006092, 
0, 0.000203, 0.005611, 3.35509, 0.006259, 
0, 0.000204, 0.005111, 3.45474, 0.006963, 
0, 0.00026, 0.005723, 3.50078, 0.006296, 
